year,month,precipitation
1961,1,6.1000000000000005
1961,2,3.0
1961,3,10.600000000000001
1961,4,4.9
1961,5,25.400000000000002
1961,6,36.8
1961,7,79.5
1961,8,145.6
1961,9,40.1
1961,10,13.5
1961,11,3.1
1961,12,6.300000000000001
1962,1,2.7
1962,2,1.8
1962,3,4.8999999999999995
1962,4,3.6
1962,5,73.9
1962,6,15.5
1962,7,181.1
1962,8,216.0
1962,9,34.0
1962,10,6.0
1962,11,0.30000000000000004
1962,12,5.3
1963,1,1.3
1963,2,0.6000000000000001
1963,3,2.3000000000000003
1963,4,37.6
1963,5,20.2
1963,6,135.6
1963,7,135.0
1963,8,92.60000000000001
1963,9,52.9
1963,10,4.4
1963,11,1.3
1963,12,1.6
1964,1,5.500000000000001
1964,2,0.2
1964,3,1.5
1964,4,20.1
1964,5,19.1
1964,6,112.4
1964,7,146.0
1964,8,97.10000000000001
1964,9,20.2
1964,10,8.600000000000001
1964,11,7.0
1964,12,2.7
1965,1,1.8
1965,2,1.8
1965,3,4.2
1965,4,11.500000000000002
1965,5,27.5
1965,6,20.4
1965,7,186.10000000000002
1965,8,58.7
1965,9,37.5
1965,10,8.5
1965,11,8.1
1965,12,5.1
1966,1,3.2
1966,2,9.3
1966,3,4.2
1966,4,18.700000000000003
1966,5,31.100000000000005
1966,6,130.6
1966,7,68.0
1966,8,166.2
1966,9,4.2
1966,10,22.200000000000003
1966,11,5.0
1966,12,0.9000000000000001
1967,1,0.5
1967,2,0.0
1967,3,3.8000000000000003
1967,4,17.4
1967,5,62.0
1967,6,41.7
1967,7,120.4
1967,8,38.9
1967,9,20.3
1967,10,2.5
1967,11,3.8000000000000003
1967,12,1.8
1968,1,1.3
1968,2,2.5
1968,3,1.7000000000000002
1968,4,19.4
1968,5,14.700000000000003
1968,6,70.80000000000001
1968,7,53.0
1968,8,146.4
1968,9,63.2
1968,10,10.600000000000001
1968,11,5.4
1968,12,5.5
1969,1,2.6
1969,2,0.2
1969,3,1.7000000000000002
1969,4,28.200000000000003
1969,5,29.400000000000002
1969,6,23.9
1969,7,93.3
1969,8,203.20000000000002
1969,9,19.3
1969,10,23.6
1969,11,0.8
1969,12,2.6999999999999997
1970,1,1.5
1970,2,2.5
1970,3,0.2
1970,4,2.9000000000000004
1970,5,10.5
1970,6,60.2
1970,7,186.5
1970,8,130.0
1970,9,98.4
1970,10,0.9
1970,11,7.6000000000000005
1970,12,4.6
1971,1,0.9000000000000001
1971,2,2.4
1971,3,9.3
1971,4,22.3
1971,5,17.2
1971,6,89.4
1971,7,65.5
1971,8,73.60000000000001
1971,9,106.3
1971,10,22.1
1971,11,4.0
1971,12,2.2
1972,1,1.4
1972,2,1.2000000000000002
1972,3,1.8
1972,4,17.8
1972,5,12.1
1972,6,104.7
1972,7,160.8
1972,8,109.2
1972,9,50.1
1972,10,22.900000000000002
1972,11,4.1000000000000005
1972,12,2.6
1973,1,0.1
1973,2,3.0
1973,3,2.7
1973,4,27.8
1973,5,34.1
1973,6,63.5
1973,7,221.60000000000002
1973,8,104.10000000000001
1973,9,21.900000000000002
1973,10,0.9
1973,11,3.0
1973,12,0.9000000000000001
1974,1,0.5
1974,2,1.8
1974,3,7.0
1974,4,9.8
1974,5,21.0
1974,6,27.8
1974,7,165.70000000000002
1974,8,46.900000000000006
1974,9,79.6
1974,10,12.0
1974,11,5.300000000000001
1974,12,0.8
1975,1,0.0
1975,2,2.4
1975,3,1.6
1975,4,9.4
1975,5,22.0
1975,6,103.1
1975,7,159.7
1975,8,36.8
1975,9,59.800000000000004
1975,10,55.7
1975,11,7.0
1975,12,0.6
1976,1,1.3000000000000003
1976,2,3.2
1976,3,1.9
1976,4,19.700000000000003
1976,5,57.400000000000006
1976,6,76.7
1976,7,167.5
1976,8,106.1
1976,9,23.900000000000002
1976,10,3.6
1976,11,0.4
1976,12,0.30000000000000004
1977,1,0.9
1977,2,3.3000000000000003
1977,3,2.1999999999999997
1977,4,15.400000000000002
1977,5,23.6
1977,6,171.9
1977,7,202.8
1977,8,57.199999999999996
1977,9,15.4
1977,10,13.100000000000001
1977,11,2.5
1977,12,2.7
1978,1,1.7000000000000002
1978,2,0.39999999999999997
1978,3,14.2
1978,4,5.7
1978,5,15.5
1978,6,129.2
1978,7,95.7
1978,8,77.1
1978,9,62.7
1978,10,4.8
1978,11,10.600000000000001
1978,12,2.5
1979,1,2.7
1979,2,8.0
1979,3,6.8
1979,4,25.0
1979,5,3.2
1979,6,49.2
1979,7,102.9
1979,8,96.7
1979,9,45.6
1979,10,39.7
1979,11,6.0
1979,12,1.1
1980,1,0.6000000000000001
1980,2,0.0
1980,3,0.0
1980,4,18.0
1980,5,49.1
1980,6,61.5
1980,7,159.5
1980,8,200.0
1980,9,122.60000000000001
1980,10,10.8
1980,11,10.3
1980,12,3.9
1981,1,0.6000000000000001
1981,2,4.9
1981,3,7.6
1981,4,6.500000000000001
1981,5,35.4
1981,6,63.6
1981,7,278.6
1981,8,97.8
1981,9,4.7
1981,10,14.5
1981,11,2.8000000000000003
1981,12,2.1
1982,1,1.2
1982,2,2.8000000000000003
1982,3,7.4
1982,4,18.6
1982,5,24.200000000000003
1982,6,109.5
1982,7,142.1
1982,8,125.00000000000001
1982,9,82.4
1982,10,4.5
1982,11,7.0
1982,12,1.8000000000000003
1983,1,4.800000000000001
1983,2,0.1
1983,3,2.9
1983,4,8.5
1983,5,8.3
1983,6,60.300000000000004
1983,7,308.7
1983,8,43.7
1983,9,44.400000000000006
1983,10,3.6
1983,11,11.700000000000001
1983,12,0.6000000000000001
1984,1,1.7000000000000002
1984,2,3.9000000000000004
1984,3,1.3
1984,4,12.3
1984,5,44.4
1984,6,110.10000000000001
1984,7,138.0
1984,8,143.5
1984,9,46.5
1984,10,3.0
1984,11,6.5
1984,12,0.2
1985,1,2.1
1985,2,2.9
1985,3,2.3
1985,4,10.100000000000001
1985,5,3.0
1985,6,93.89999999999999
1985,7,95.80000000000001
1985,8,299.8
1985,9,44.0
1985,10,13.799999999999999
1985,11,4.7
1985,12,3.2
1986,1,0.2
1986,2,2.7
1986,3,13.3
1986,4,7.6000000000000005
1986,5,35.2
1986,6,98.30000000000001
1986,7,221.9
1986,8,77.0
1986,9,32.9
1986,10,7.1
1986,11,2.2
1986,12,1.8
1987,1,4.8
1987,2,1.0
1987,3,1.9000000000000001
1987,4,0.8
1987,5,16.2
1987,6,39.6
1987,7,99.8
1987,8,121.3
1987,9,112.3
1987,10,15.2
1987,11,9.700000000000001
1987,12,5.5
1988,1,0.6000000000000001
1988,2,1.8000000000000003
1988,3,3.3000000000000003
1988,4,10.400000000000002
1988,5,97.9
1988,6,68.7
1988,7,213.20000000000002
1988,8,51.800000000000004
1988,9,70.60000000000001
1988,10,11.4
1988,11,6.7
1988,12,7.1000000000000005
1989,1,1.6
1989,2,0.0
1989,3,8.5
1989,4,18.900000000000002
1989,5,19.7
1989,6,133.8
