year,month,precipitation
1961,1,1.8
1961,2,2.5
1961,3,2.0
1961,4,21.1
1961,5,30.3
1961,6,105.5
1961,7,58.8
1961,8,104.0
1961,9,21.7
1961,10,11.100000000000001
1961,11,16.7
1961,12,9.4
1962,1,0.2
1962,2,0.0
1962,3,10.1
1962,4,13.9
1962,5,64.0
1962,6,51.5
1962,7,221.3
1962,8,58.800000000000004
1962,9,70.7
1962,10,21.700000000000003
1962,11,9.8
1962,12,4.2
1963,1,1.4
1963,2,4.5
1963,3,13.400000000000002
1963,4,30.3
1963,5,26.6
1963,6,114.2
1963,7,116.5
1963,8,57.0
1963,9,47.3
1963,10,13.4
1963,11,5.800000000000001
1963,12,5.500000000000001
1964,1,1.8
1964,2,0.0
1964,3,2.6
1964,4,14.9
1964,5,23.5
1964,6,82.0
1964,7,102.7
1964,8,39.7
1964,9,69.0
1964,10,39.5
1964,11,10.5
1964,12,5.6000000000000005
1965,1,3.6
1965,2,3.2000000000000006
1965,3,12.4
1965,4,12.2
1965,5,24.1
1965,6,28.900000000000002
1965,7,118.7
1965,8,79.10000000000001
1965,9,46.0
1965,10,17.7
1965,11,7.5
1965,12,5.8
1966,1,7.800000000000001
1966,2,2.4000000000000004
1966,3,3.5000000000000004
1966,4,17.9
1966,5,13.9
1966,6,176.6
1966,7,77.0
1966,8,78.0
1966,9,24.3
1966,10,17.6
1966,11,8.4
1966,12,1.1
1967,1,3.8000000000000003
1967,2,2.8000000000000003
1967,3,2.0
1967,4,9.8
1967,5,27.400000000000002
1967,6,34.0
1967,7,84.7
1967,8,99.60000000000001
1967,9,49.8
1967,10,18.6
1967,11,1.8000000000000003
1967,12,6.0
1968,1,1.5
1968,2,0.7000000000000001
1968,3,15.6
1968,4,16.200000000000003
1968,5,31.400000000000002
1968,6,57.3
1968,7,91.7
1968,8,53.1
1968,9,70.5
1968,10,6.5
1968,11,20.5
1968,12,9.8
1969,1,0.8
1969,2,5.3
1969,3,3.2
1969,4,6.1000000000000005
1969,5,41.1
1969,6,35.6
1969,7,81.60000000000001
1969,8,177.0
1969,9,94.8
1969,10,35.7
1969,11,7.300000000000001
1969,12,3.2
1970,1,0.9
1970,2,7.0
1970,3,8.1
1970,4,18.7
1970,5,49.300000000000004
1970,6,62.7
1970,7,96.4
1970,8,73.3
1970,9,61.300000000000004
1970,10,14.2
1970,11,8.2
1970,12,1.9000000000000001
1971,1,3.2
1971,2,6.9
1971,3,13.5
1971,4,29.6
1971,5,4.300000000000001
1971,6,21.0
1971,7,129.1
1971,8,47.900000000000006
1971,9,46.800000000000004
1971,10,6.500000000000001
1971,11,3.5000000000000004
1971,12,7.9
1972,1,4.8999999999999995
1972,2,1.4000000000000001
1972,3,15.0
1972,4,22.3
1972,5,8.3
1972,6,31.900000000000002
1972,7,95.0
1972,8,168.70000000000002
1972,9,47.6
1972,10,21.3
1972,11,9.5
1972,12,6.9
1973,1,1.7000000000000002
1973,2,4.1000000000000005
1973,3,15.2
1973,4,12.200000000000001
1973,5,39.6
1973,6,31.700000000000003
1973,7,88.2
1973,8,63.5
1973,9,15.0
1973,10,2.0
1973,11,11.8
1973,12,6.2
1974,1,4.1
1974,2,8.4
1974,3,3.4000000000000004
1974,4,10.3
1974,5,38.5
1974,6,41.9
1974,7,86.80000000000001
1974,8,61.6
1974,9,44.0
1974,10,8.4
1974,11,12.1
1974,12,3.6
1975,1,3.4000000000000004
1975,2,3.9000000000000004
1975,3,3.4000000000000004
1975,4,34.2
1975,5,35.6
1975,6,68.3
1975,7,128.0
1975,8,63.6
1975,9,23.8
1975,10,42.1
1975,11,9.9
1975,12,6.1000000000000005
1976,1,4.5
1976,2,10.200000000000001
1976,3,6.7
1976,4,0.8
1976,5,44.300000000000004
1976,6,33.7
1976,7,124.10000000000001
1976,8,78.4
1976,9,24.800000000000004
1976,10,14.799999999999999
1976,11,6.1000000000000005
1976,12,5.6000000000000005
1977,1,0.1
1977,2,1.3
1977,3,5.4
1977,4,11.1
1977,5,56.1
1977,6,113.8
1977,7,188.1
1977,8,153.7
1977,9,67.6
1977,10,21.2
1977,11,10.5
1977,12,6.4
1978,1,3.9000000000000004
1978,2,3.2
1978,3,6.9
1978,4,43.400000000000006
1978,5,18.900000000000002
1978,6,43.7
1978,7,172.50000000000003
1978,8,102.60000000000001
1978,9,45.8
1978,10,13.700000000000001
1978,11,5.300000000000001
